Name,Manufacturer,Column 3,Sorted Category,Form Factor,Tags,Parent,Version,Format,Notes,Model,Column 1
Scaler Detector Audio,Scaler Music,Composition Tools,Composition Tools,Plugin,,,1.0.0,"AU, VST3","With powerful detection technology, Scaler Detector identifies chords, determines the key and scale of your music, and suggests chords that fit perfectly.",,
Scaler Detector Control,Scaler Music,Composition Tools,Composition Tools,Plugin,,,1.0.0,AU,"With powerful detection technology, Scaler Detector identifies chords, determines the key and scale of your music, and suggests chords that fit perfectly.",,
Sound ID Reference,Sonarworks,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,"Plugin, Standalone",,,5.13.2,"AU, VST3",,,
Lin One Dither,Steinberg,Metering & Signal,Metering & Signal,Plugin,Mastering,,,VST3,(Cubase) Advanced dither algo tha toffers add'l noise shaping to increase the apparent signnal-to-noise ratio by altering the spectrum of the low-level audio signal. ,,
Mix6To2,Steinberg,Metering & Signal,Metering & Signal,Plugin,Surround,,,VST3,(Cubase) Quick surround to stereo mixdown,,
Mix8To2,Steinberg,Metering & Signal,Metering & Signal,Plugin,Surround,,,VST3,(Cubase) Quick surround to stereo mixdown,,
MixConvert V6,Steinberg,Metering & Signal,Metering & Signal,Plugin,Surround,,,VST3,"(Cubase) quickly convert a multi-channel mix to a format with a different channel configuration, for example, to mix down a 7.1 cinema surround format into a 5.1 home theater format.",,
MonoToStereo,Steinberg,Metering & Signal,Metering & Signal,Plugin,,,,VST3,(Cubase) Turns Mono signal into a psuedo-stereo signal. (Can be used on mono audio or stereo audio w/ equal channels) ,,
Renderer for Dolby Atmos,Steinberg,Metering & Signal,Metering & Signal,Plugin,Surround,,,VST3,(Cubase),,
SMPTEGenerator,Steinberg,Metering & Signal,Metering & Signal,Plugin,,,,VST3,(Cubase) sends SMPTE time code to an audio output,,
SuperVision,Steinberg,Metering & Signal,Metering & Signal,Plugin,,,,VST3,"(Cubase) Professional tool suite for monitoring and analyzing your audio. (Includes several different modules for level, spectral, phase, or waveform analysis)",,
TestGenerator,Steinberg,Metering & Signal,Metering & Signal,Plugin,,,,VST3,(Cubase) generates audio test tones. ,,
Tuner,Steinberg,Composition Tools,Composition Tools,Plugin,Guitar,,,VST3,(Cubase) Guitar Tuner,,
Volume,Steinberg,Metering & Signal,Metering & Signal,Plugin,,,,VST3,(Cubase),,
VST Connect CUE Mix,Steinberg,Management Tools,Management Tools,Plugin,,,,VST3,(Cubase),,
VST Connect Monitor,Steinberg,Management Tools,Management Tools,Plugin,,,,VST3,(Cubase),,
VST Connect PRO,Steinberg,Management Tools,Management Tools,Plugin,,,,VST3,(Cubase),,
VST Connect SE,Steinberg,Management Tools,Management Tools,Plugin,,,,VST3,(Cubase),,
API Summing,Universal Audio,Metering & Signal,Metering & Signal,Plugin,,,1.1.2,UADx,,,
bx_tuner,Universal Audio,Composition Tools,Composition Tools,Plugin,,,1.0.2,UAD-2,Modeled by Brainworx; guitar tuner,,
LUNA Hardware Insert,Universal Audio,Metering & Signal,Metering & Signal,Plugin,,,1.0.0,UADx,,,
Neve Summing,Universal Audio,Metering & Signal,Metering & Signal,Plugin,,,1.1.2,UADx,,,
Precision K-Stereo,Universal Audio,Metering & Signal,Metering & Signal,Plugin,,,11.8.1,UAD-2,,,
Topline Key Finder,Universal Audio,Composition Tools,Composition Tools,Plugin,,,1.1.11,UADx,Determines song key and sends it to Topline Vocal Suite,,
Instachord 2,W.A. Production,Composition Tools,Composition Tools,Plugin,,,2.0.8,"AU, VST3",MIDI Processor plugin that to help compose chords and harmonies,,
Instacomposer 2,W.A. Production,Composition Tools,Composition Tools,Plugin,,,2.0.1,"AU, VST3","MIDI generator plugin that can produce melodies, phrases, riffs and chord progressions",,
Instascale,W.A. Production,Composition Tools,Composition Tools,Plugin,,,1.1.6,"AU, VST3",MIDI Processor plugin that to help compose scales and melodies,,
Listener Loop Engine 2,W.A. Production,Composition Tools,Composition Tools,Plugin,,,2.0.2,"AU, VST3",(LiminalSphere) Listener Engine for Loop Engine 2,,
Loop Engine 2,W.A. Production,Composition Tools,Composition Tools,Plugin,,,2.0.2,"AU, VST3",(LiminalSphere) AI/Rule-based harmony and loop generation,,
MIDIQ,W.A. Production,Composition Tools,Composition Tools,Plugin,,,1.0.1,AU,loop and MIDI generator,,
Abbey Road Studio 3,Waves,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,Modeled,,16.7.33,AU,spatial reference for headphone mix. ,Abbey Road Studios 3,
Abbey Road TG Meter Bridge,Waves,Metering & Signal,Metering & Signal,Plugin,Mastering,,16.7.33,AU,"PPM, VU and phase correlation meters",EMI TG12410 Transfer Console,
B360,Waves,Spatial Tools,Spatial Tools,Plugin,Surround,,16.7.33,AU,Surround,,
B360 AmbiX-FuMa,Waves,Spatial Tools,Spatial Tools,Plugin,Surround,,16.7.33,AU,Quad,,
B360 FuMa-AmbiX,Waves,Spatial Tools,Spatial Tools,Plugin,Surround,,16.7.33,AU,Quad,,
C360,Waves,Spatial Tools,Spatial Tools,Plugin,Surround,,16.7.33,AU,Surround,,
Center,Waves,Metering & Signal,Metering & Signal,Plugin,Mastering,,16.7.33,AU,separates phantom center content from side (L/R) content,,
CLA Nx,Waves,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,Modeled,,16.7.33,AU,(Chris Lord-Alge) psychoacoustic reference mixing / monitoring,MIX LA Control Room,
Cosmos Sample Finder,Waves,Management Tools,Management Tools,"Plugin, Standalone",,,16.7.33,AU,,,
Dorrough,Waves,Metering & Signal,Metering & Signal,Plugin,Modeled,,16.7.33,AU,,"Dorrough 280-D
Dorrough 380-D
Dorrough 40-AES/EBU",
Dorrough360,Waves,Metering & Signal,Metering & Signal,Plugin,"Modeled, Surround",,16.7.33,AU,(Surround),,
EMO-Generator,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,,,
F6-RTA,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,F6 Real-Time Analyzer (creates a RT visual map of the audio) ,,
GTR Tuner,Waves,Composition Tools,Composition Tools,Plugin,,,16.7.33,AU,Guitar Tuner,,
IDR360,Waves,Metering & Signal,Metering & Signal,Plugin,Surround,,16.7.33,AU,Surround,,
Immersive Wrapper,Waves,Spatial Tools,Spatial Tools,Plugin,Surround,,16.7.33,AU,,,
InTrigger,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.38,AU,,,
InTrigger Live,Waves,Metering & Signal,Metering & Signal,Plugin,Live Sound,,16.7.38,AU,,,
Key Detector,Waves,Composition Tools,Composition Tools,Plugin,,,16.7.33,AU,Detects key and can send it to vocal tuning / harmonizing plugins,,
LFE360,Waves,Metering & Signal,Metering & Signal,Plugin,Surround,,16.7.33,AU,,,
M360 Manager,Waves,Spatial Tools,Spatial Tools,Plugin,Surround,,16.7.33,AU,Surround,,
NX,Waves,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,,,16.7.33,AU,"Reference spatial processing for mixes. (Place on master buss, and bypass it when bouncing the mix) REFERENCE ONLY NOTE: manual / system has list of headphones to adjust for",,
Nx Ambisonics,Waves,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,,,16.7.33,AU,Quad,,
Nx Germano Studios,Waves,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,Modeled,,16.7.33,AU,"Reference spatial processing for mixes. (Place on master buss, and bypass it when bouncing the mix) REFERENCE ONLY",The Hit Factory (NY) ,
Nx Ocean Way Nashville,Waves,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,Modeled,,16.7.33,AU,"Reference spatial processing for mixes. (Place on master buss, and bypass it when bouncing the mix) REFERENCE ONLY",Ocean Way Studios (Nashville) ,
PAZ Analyzer,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,"stereo positioning, frequency spread, peak/RMS  (Full Plugin) ",,
PAZ Frequency,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,real-time frequency analysis only,,
PAZ Meters,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,"meters for L, R, Sum (Peak/RMS) ",,
PAZ Position,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,stereo positioning only,,
Playlist Rider,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,,,
Q-Capture,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,captures EQ curve of a single mono analog EQ and uses it to process 1or more tracks -- CAPTURE PLUGIN (See Q-Clone) ,,
R360,Waves,Metering & Signal,Metering & Signal,Plugin,Surround,,16.7.33,AU,Surround,,
Stream Receive,Waves,Management Tools,Management Tools,Plugin,,,16.7.33,AU,share audio in real time,,
Stream Send,Waves,Management Tools,Management Tools,Plugin,,,16.7.33,AU,share audio in real time,,
Sub Align,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,,,
TRACT,Waves,Reference Monitoring & Room Correction,Reference Monitoring & Room Correction,Plugin,,,16.7.33,AU,(Time and Response Auto Correction Tool) Mostly used for live performance but can be used for performing acoustical room correction,,
TRACT LinPhase,Waves,Metering & Signal,Metering & Signal,Plugin,Mastering,,16.7.33,AU,(Time and Response Auto Correction Tool) linear phase version used for mastering. (Higher latency / non real time) ,,
UM225,Waves,Spatial Tools,Spatial Tools,Plugin,,,16.7.33,AU,Surround,,
VU Meter,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,VU Meter,,
W43,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,,,
WLM Meter,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,"precision loudness measurement, metering, correction, adjustment for post, broadcast, games, media, etc.",,
WLM Plus,Waves,Metering & Signal,Metering & Signal,Plugin,,,16.7.33,AU,"precision loudness measurement, metering, correction, adjustment for post, broadcast, games, media, etc. - With Automatic Loudness Correction and Peak Limiting",,
Rectangles,Ample Sound,Composition Tools,Composition Tools,Standalone,,,1.1.8,,"MIDI chord and progression tool — it helps you build chord progressions, voicings, and harmonic ideas quickly.",,
M360 MixDown,Waves,Metering & Signal,Metering & Signal,Plugin,Surround,,16.7.33,AU,,,
